X,CH1
Second,Volt,
6.90e-03,3.28e+00
6.92e-03,3.28e+00
6.94e-03,3.20e+00
6.96e-03,3.16e+00
6.98e-03,3.24e+00
7.00e-03,3.24e+00
7.02e-03,3.16e+00
7.04e-03,2.96e+00
7.06e-03,2.72e+00
7.08e-03,2.76e+00
7.10e-03,2.48e+00
7.12e-03,2.08e+00
7.14e-03,2.28e+00
7.16e-03,2.96e+00
7.18e-03,3.20e+00
7.20e-03,2.88e+00
7.22e-03,3.24e+00
7.24e-03,3.20e+00
7.26e-03,2.52e+00
7.28e-03,3.24e+00
7.30e-03,3.20e+00
7.32e-03,3.16e+00
7.34e-03,3.28e+00
7.36e-03,3.20e+00
7.38e-03,3.20e+00
7.40e-03,2.76e+00
7.42e-03,3.12e+00
7.44e-03,3.00e+00
7.46e-03,2.84e+00
7.48e-03,3.04e+00
7.50e-03,3.12e+00
7.52e-03,2.96e+00
7.54e-03,2.72e+00
7.56e-03,2.88e+00
7.58e-03,2.96e+00
7.60e-03,2.48e+00
7.62e-03,3.20e+00
7.64e-03,2.72e+00
7.66e-03,2.08e+00
7.68e-03,1.52e+00
7.70e-03,1.12e+00
7.72e-03,7.60e-01
7.74e-03,4.00e-01
7.76e-03,3.24e+00
7.78e-03,3.24e+00
7.80e-03,3.20e+00
7.82e-03,3.20e+00
7.84e-03,3.28e+00
7.86e-03,3.16e+00
7.88e-03,3.24e+00
7.90e-03,3.28e+00
7.92e-03,3.20e+00
7.94e-03,2.92e+00
7.96e-03,2.28e+00
7.98e-03,1.88e+00
8.00e-03,1.52e+00
8.02e-03,1.24e+00
8.04e-03,3.28e+00
8.06e-03,3.32e+00
8.08e-03,2.68e+00
8.10e-03,2.24e+00
8.12e-03,3.28e+00
8.14e-03,3.24e+00
8.16e-03,3.04e+00
8.18e-03,2.84e+00
8.20e-03,2.80e+00
8.22e-03,2.48e+00
8.24e-03,2.00e+00
8.26e-03,1.64e+00
8.28e-03,3.28e+00
8.30e-03,3.20e+00
8.32e-03,3.24e+00
8.34e-03,2.92e+00
8.36e-03,2.56e+00
8.38e-03,2.16e+00
8.40e-03,1.68e+00
8.42e-03,1.48e+00
8.44e-03,3.32e+00
8.46e-03,3.20e+00
8.48e-03,3.28e+00
8.50e-03,3.24e+00
8.52e-03,2.92e+00
8.54e-03,2.32e+00
8.56e-03,1.96e+00
8.58e-03,1.68e+00
8.60e-03,1.36e+00
8.62e-03,1.04e+00
8.64e-03,8.80e-01
8.66e-03,1.28e+00
8.68e-03,9.60e-01
8.70e-03,8.40e-01
8.72e-03,9.20e-01
8.74e-03,9.20e-01
8.76e-03,3.20e+00
8.78e-03,3.24e+00
8.80e-03,3.00e+00
8.82e-03,2.64e+00
8.84e-03,2.20e+00
8.86e-03,1.84e+00
8.88e-03,1.60e+00
8.90e-03,3.20e+00
8.92e-03,3.12e+00
8.94e-03,2.68e+00
8.96e-03,2.36e+00
8.98e-03,2.00e+00
9.00e-03,1.64e+00
9.02e-03,3.28e+00
9.04e-03,3.20e+00
9.06e-03,2.88e+00
9.08e-03,2.48e+00
9.10e-03,2.16e+00
9.12e-03,1.88e+00
9.14e-03,2.96e+00
9.16e-03,2.68e+00
9.18e-03,2.32e+00
9.20e-03,2.04e+00
9.22e-03,1.72e+00
9.24e-03,3.24e+00
9.26e-03,3.20e+00
9.28e-03,2.80e+00
9.30e-03,2.60e+00
9.32e-03,2.20e+00
9.34e-03,1.88e+00
9.36e-03,1.60e+00
